Topic,Sub-Topic,Primary Contact: Haidee,Primary Contact: Hadi
User Training,Prepare and update training material: Operational protocol,X,
User Training,Train new EEG/fMRI users and provide access to lab,X,
Data acquisition,Acquire EEG/fMRI data when needed and clean the cap,X,
CTP Administrative,Budgeting,X,
CTP Administrative,Monthly report,X,
CTP Administrative,Risk assessment,X,
CTP Administrative,Usage and usage prediction,X,
CTP Administrative,"SOP, SOP emergency",X,
Faculty Administrative,Elaborate consent forms template (with EEG/fMRI guidelines),X,
Faculty Administrative,Explanations and queries about the lab,X,
Experiment design,Testing experiments and debugging,,X
Lab space,"Ensure availability of Gel, syringe, earstick",X,
Lab equipment and maintenance,Ensure operational state of equipment,X,
Lab equipment and maintenance,Maintenance of the systems and troubleshooting,X,
Data Analysis,Maintain processing pipelines and provide MEG data analysis results,,X
Equipment upgrade,"Upgrade, buy extra caps or auxiliary hardware",X,
User Training,EEG/fMRI demo,,X
