Block,TargetPrompt,TargetObject,Onset,Duration,Channel,Trial_Type
1,a black bear,bear,1,,224,Animal
1,a black bear,bear,2,,225,Animal
1,a black bear,bear,3,,226,Animal
1,a black bear,bear,4,,227,Animal
1,a black bear,bear,5,,228,Animal
1,a blue butterfly,butterfly,6,,224,Animal
1,a blue butterfly,butterfly,7,,225,Animal
1,a blue butterfly,butterfly,8,,226,Animal
1,a blue butterfly,butterfly,9,,227,Animal
1,a blue butterfly,butterfly,10,,228,Animal
1,a black truck,truck,11,,224,Vechile
1,a black truck,truck,12,,225,Vechile
1,a black truck,truck,13,,226,Vechile
1,a black truck,truck,14,,227,Vechile
1,a black truck,truck,15,,228,Vechile
1,a black belt,belt,16,,224,Cloth
1,a black belt,belt,17,,225,Cloth
1,a black belt,belt,18,,226,Cloth
1,a black belt,belt,19,,227,Cloth
1,a black belt,belt,20,,228,Cloth
1,a black camera,camera,21,,224,Tool
1,a black camera,camera,22,,225,Tool
1,a black camera,camera,23,,226,Tool
1,a black camera,camera,24,,227,Tool
1,a black camera,camera,25,,228,Tool
2,a black laptop,laptop,26,,224,Tool
2,a black laptop,laptop,27,,225,Tool
2,a black laptop,laptop,28,,226,Tool
2,a black laptop,laptop,29,,227,Tool
2,a black laptop,laptop,30,,228,Tool
2,a black spider,spider,31,,224,Animal
2,a black spider,spider,32,,225,Animal
2,a black spider,spider,33,,226,Animal
2,a black spider,spider,34,,227,Animal
2,a black spider,spider,35,,228,Animal
2,a blue shirt,shirt,36,,224,Cloth
2,a blue shirt,shirt,37,,225,Cloth
2,a blue shirt,shirt,38,,226,Cloth
2,a blue shirt,shirt,39,,227,Cloth
2,a blue shirt,shirt,40,,228,Cloth
2,a black wallet,wallet,41,,224,Cloth
2,a black wallet,wallet,42,,225,Cloth
2,a black wallet,wallet,43,,226,Cloth
2,a black wallet,wallet,44,,227,Cloth
2,a black wallet,wallet,45,,228,Cloth
2,a black suit,suit,46,,224,Cloth
2,a black suit,suit,47,,225,Cloth
2,a black suit,suit,48,,226,Cloth
2,a black suit,suit,49,,227,Cloth
2,a black suit,suit,50,,228,Cloth
