Block,BlockImagineTime,Prompt,Object,Rate,Rate_RT,Question_Resp,Question_CorAnswer,Question_RT
1,4,a yellow trumpet,trumpet,4,5.3846716999542,YES,YES,2.4551586000016
1,4,a green cabbage,cabbage,4,1.85148569999728,YES,YES,0.787362599978223
1,4,an orange pumpkin,pumpkin,3,4.90045249997638,YES,YES,1.50059040007181
1,4,a black clock,clock,4,3.08626090001781,NO,NO,1.52249430003576
1,4,a grey bowl,bowl,3,3.05880599992815,NO,NO,1.08906379994005
1,4,a green lizard,lizard,4,2.52936300006695,YES,YES,2.54630980000366
1,4,a black pan,pan,5,3.1579232000513,NO,NO,1.09040169999935
1,4,a yellow pineapple,pineapple,5,2.67114519991446,YES,YES,0.840964799979702
1,4,a grey squirrel,squirrel,4,6.67873990000226,NO,NO,1.50429009995423
1,4,a red bus,bus,4,3.8544433999341,NO,NO,0.996842499938793
1,4,a yellow sunflower,sunflower,4,3.92739900003653,NO,NO,1.0764790000394
1,4,a red strawberry,strawberry,5,3.00282479997259,NO,NO,0.879926500027068
1,4,a blue helicopter,helicopter,3,3.44173089996912,NO,NO,0.859890599967912
1,4,a brown backpack,backpack,5,3.56020730000455,NO,NO,1.40977629995905
1,4,a brown bench,bench,4,3.10835270001553,NO,NO,0.710912300040945
1,4,a black train,train,5,3.22608789999504,NO,NO,0.866214300040156
