Block,BlockRecallTime,TargetPrompt,TargetObject,TargetOrder,DistractObject,Question_CorIMG,Question_Resp,Question_RT
1,4,a blue umbrella,umbrella,2,ruler,6,NO,1.09931099996902
1,4,a brown guitar,guitar,2,horse,10,YES,1.14203819993418
1,4,an orange fish,fish,1,sock,10,YES,1.00872510008048
1,4,a silver spoon,spoon,1,fork,8,YES,2.40767330001108
1,4,a grey rock,rock,2,elephant,10,YES,1.34200429997873
1,4,a brown cookie,cookie,2,guitar,6,NO,0.924907300039195
1,4,a silver knife,knife,1,spoon,6,NO,1.04222840000875
1,4,a black wallet,wallet,2,laptop,6,NO,0.893778799916618
1,4,a grey elephant,elephant,1,rock,6,NO,2.13546040002257
1,4,a silver fork,fork,1,knife,10,YES,1.41720659995917
1,4,a grey coat,coat,1,donkey,10,YES,0.950658799964003
1,4,a grey rock,rock,1,elephant,8,YES,1.06998319993727
1,4,a yellow lemon,lemon,2,hat,8,NO,2.04100060008932
1,4,a blue bike,bike,2,ruler,10,NO,1.89237829996273
1,4,a purple tulip,tulip,2,crystal,6,NO,0.817125699948519
1,4,a red scarf,scarf,1,balloon,8,YES,0.849331100005656
1,4,a silver watch,watch,2,spoon,10,YES,1.08520999993198
1,4,a green frog,frog,2,broccoli,10,YES,1.69248239998706
1,4,an orange sofa,sofa,1,sock,6,NO,1.3097460999852
1,4,a red candle,candle,2,balloon,6,NO,1.10295590001624
1,4,a green broccoli,broccoli,1,turtle,10,YES,0.925443200045265
1,4,an orange basketball,basketball,1,sofa,8,NO,1.00827220000792
1,4,a yellow glove,glove,1,hat,8,NO,0.85379159997683
1,4,an orange sock,sock,2,sofa,10,YES,0.825417199986987
1,4,a brown dog,dog,1,guitar,6,NO,0.843035899917595
1,4,a blue door,door,1,umbrella,8,NO,1.54610859998502
1,4,a purple towel,towel,1,tulip,10,YES,1.16012929996941
1,4,a silver fork,fork,1,knife,10,YES,0.808302800054662
1,4,a grey donkey,donkey,2,rock,6,NO,1.65130609995686
1,4,a brown horse,horse,2,dog,6,NO,0.71632780006621
1,4,a blue bike,bike,1,ruler,6,NO,0.873248999938369
1,4,a purple crystal,crystal,2,towel,6,NO,1.22428840002976
1,4,a yellow hat,hat,1,glove,10,YES,1.4157273999881
1,4,a yellow pencil,pencil,1,hat,6,NO,1.76723879994825
1,4,a black camera,camera,1,truck,6,NO,0.9919791999273
1,4,an orange sofa,sofa,2,basketball,10,YES,1.0195208999794
1,4,a yellow hat,hat,1,glove,10,YES,0.983619700069539
1,4,a red apple,apple,1,balloon,6,NO,0.745042400085367
1,4,a brown dog,dog,1,guitar,8,NO,3.10952800000086
1,4,a black camera,camera,2,truck,8,NO,2.22482489992399
1,4,a green broccoli,broccoli,2,frog,8,NO,1.12809879996348
1,4,a purple hoodie,hoodie,2,tulip,6,NO,0.958800800028257
1,4,a green basket,basket,1,broccoli,10,YES,1.56740169995464
1,4,a purple crystal,crystal,1,tulip,6,NO,0.742195299942978
1,4,a red apple,apple,1,scarf,6,NO,0.725502499961294
1,4,a black laptop,laptop,2,camera,6,NO,1.34232440008782
1,4,a green turtle,turtle,2,frog,6,NO,0.783493199967779
1,4,a red balloon,balloon,2,scarf,10,YES,1.48577800008934
1,4,a blue ruler,ruler,1,umbrella,8,NO,0.94925210007932
1,4,a black truck,truck,1,camera,6,NO,0.815143699990585
2,4,a black bear,bear,2,belt,10,YES,1.59943309996743
2,4,a silver ring,ring,2,coin,10,NO,0.975456499960274
2,4,a purple eggplant,eggplant,1,dress,6,YES,1.00112610007636
2,4,an orange carrot,carrot,2,cat,10,YES,1.14148310001474
2,4,a red rose,rose,1,cap,10,YES,1.15863489999902
2,4,an orange pepper,pepper,1,cat,8,NO,0.79059850005433
2,4,a grey pigeon,pigeon,1,sweater,10,YES,2.0346960000461
2,4,a brown jacket,jacket,2,table,10,NO,1.09219019999728
2,4,a black bear,bear,2,suit,6,NO,1.10656919993926
2,4,a green parrot,parrot,2,snake,6,NO,1.99881210003514
2,4,a black spider,spider,2,bear,10,YES,0.900384900043719
2,4,a red rose,rose,1,chilli,6,NO,0.791796899982728
2,4,a black belt,belt,1,bear,8,NO,1.1083894999465
2,4,a purple onion,onion,1,eggplant,6,NO,0.686268200050108
2,4,a red chilli,chilli,2,rose,6,NO,0.827826799941249
2,4,an orange cat,cat,1,chair,10,YES,1.01636679994408
2,4,a blue cup,cup,1,bottle,10,YES,0.917266099946573
2,4,a blue shirt,shirt,2,bottle,10,NO,1.60897319996729
2,4,a silver lamp,lamp,2,kettle,8,YES,1.34696120000444
