Color,ObjectPrompt,Object,CatchQuestion,CorrectAnswer,Animacy,Category
black,a black suit,suit,Is it a cloth?,YES,Inanimate,Cloth
black,a black spider,spider,Is it a tool?,NO,Animate,Animal
black,a black laptop,laptop,Is it a food?,NO,Inanimate,Tool
black,a black wallet,wallet,Is it a furniture?,NO,Inanimate,Cloth
blue,a blue shirt,shirt,Is it a cloth?,YES,Inanimate,Cloth
blue,a blue bottle,bottle,Is it a tool?,YES,Inanimate,Tool
blue,a blue door,door,Is it a cloth?,NO,Inanimate,Furniture
blue,a blue ruler,ruler,Is it a cloth?,NO,Inanimate,Tool
brown,a brown dog,dog,Is it an animal?,YES,Animate,Animal
brown,a brown suitcase,suitcase,Is it a tool?,YES,Inanimate,Tool
brown,a brown table,table,Is it a furniture?,YES,Inanimate,Furniture
brown,a brown cookie,cookie,Is it a furniture?,NO,Inanimate,Food
green,a green snake,snake,Is it an animal?,YES,Animate,Animal
green,a green basket,basket,Is it a tool?,YES,Inanimate,Tool
green,a green broccoli,broccoli,Is it a food?,YES,Inanimate,Food
green,a green parrot,parrot,Is it a cloth?,NO,Animate,Animal
grey,a grey wolf,wolf,Is it an animal?,YES,Animate,Animal
grey,a grey sweater,sweater,Is it a cloth?,YES,Inanimate,Cloth
grey,a grey coat,coat,Is it a food?,NO,Inanimate,Cloth
grey,a grey rock,rock,Is it a cloth?,NO,Inanimate,Other
orange,an orange pepper,pepper,Is it a food?,YES,Inanimate,Food
orange,an orange chair,chair,Is it a furniture?,YES,Inanimate,Furniture
orange,an orange sock,sock,Is it a furniture?,NO,Inanimate,Cloth
orange,an orange sofa,sofa,Is it a food?,NO,Inanimate,Furniture
purple,a purple dress,dress,Is it a cloth?,YES,Inanimate,Cloth
purple,a purple cake,cake,Is it a food?,YES,Inanimate,Food
purple,a purple hoodie,hoodie,Is it a cloth?,YES,Inanimate,Cloth
purple,a purple towel,towel,Is it an animal?,NO,Inanimate,Tool
red,a red scarf,scarf,Is it a cloth?,YES,Inanimate,Cloth
red,a red mailbox,mailbox,Is it a food?,NO,Inanimate,Other
red,a red rose,rose,Is it an animal?,NO,Inanimate,Plant
red,a red fox,fox,Is it a furniture?,NO,Animate,Animal
silver,a silver knife,knife,Is it a tool?,YES,Inanimate,Tool
silver,a silver fork,fork,Is it a tool?,YES,Inanimate,Tool
silver,a silver ring,ring,Is it a food?,NO,Inanimate,Cloth
silver,a silver lamp,lamp,Is it a food?,NO,Inanimate,Furniture
yellow,a yellow corn,corn,Is it a food?,YES,Inanimate,Food
yellow,a yellow taxi,taxi,Is it a cloth?,NO,Inanimate,Vechile
yellow,a yellow glove,glove,Is it an animal?,NO,Inanimate,Cloth
yellow,a yellow hat,hat,Is it an animal?,NO,Inanimate,Cloth
brown,a brown croissant,croissant,Is it a food?,YES,Inanimate,Food
green,a green avocado,avocado,Is it an animal?,NO,Inanimate,Food
grey,a grey mushroom,mushroom,Is it a cloth?,NO,Inanimate,Food
red,a red tomato,tomato,Is it a food?,YES,Inanimate,Food
yellow,a yellow pear,pear,Is it a furniture?,NO,Inanimate,Food
