Color,ObjectPrompt,Object,Animacy,Category
black,a black suit,suit,Inanimate,Cloth
black,a black spider,spider,Animate,Animal
black,a black laptop,laptop,Inanimate,Tool
black,a black wallet,wallet,Inanimate,Cloth
blue,a blue shirt,shirt,Inanimate,Cloth
blue,a blue bottle,bottle,Inanimate,Tool
blue,a blue door,door,Inanimate,Furniture
blue,a blue ruler,ruler,Inanimate,Tool
brown,a brown dog,dog,Animate,Animal
brown,a brown suitcase,suitcase,Inanimate,Tool
brown,a brown table,table,Inanimate,Furniture
brown,a brown cookie,cookie,Inanimate,Food
green,a green snake,snake,Animate,Animal
green,a green basket,basket,Inanimate,Tool
green,a green broccoli,broccoli,Inanimate,Food
green,a green parrot,parrot,Animate,Animal
grey,a grey wolf,wolf,Animate,Animal
grey,a grey sweater,sweater,Inanimate,Cloth
grey,a grey coat,coat,Inanimate,Cloth
grey,a grey rock,rock,Inanimate,Other
orange,an orange pepper,pepper,Inanimate,Food
orange,an orange chair,chair,Inanimate,Furniture
orange,an orange sock,sock,Inanimate,Cloth
orange,an orange sofa,sofa,Inanimate,Furniture
purple,a purple dress,dress,Inanimate,Cloth
purple,a purple cake,cake,Inanimate,Food
purple,a purple hoodie,hoodie,Inanimate,Cloth
purple,a purple towel,towel,Inanimate,Tool
red,a red scarf,scarf,Inanimate,Cloth
red,a red mailbox,mailbox,Inanimate,Other
red,a red rose,rose,Inanimate,Plant
red,a red fox,fox,Animate,Animal
silver,a silver knife,knife,Inanimate,Tool
silver,a silver fork,fork,Inanimate,Tool
silver,a silver ring,ring,Inanimate,Cloth
silver,a silver lamp,lamp,Inanimate,Furniture
yellow,a yellow corn,corn,Inanimate,Food
yellow,a yellow taxi,taxi,Inanimate,Vechile
yellow,a yellow glove,glove,Inanimate,Cloth
yellow,a yellow hat,hat,Inanimate,Cloth
brown,a brown croissant,croissant,Inanimate,Food
green,a green avocado,avocado,Inanimate,Food
grey,a grey mushroom,mushroom,Inanimate,Food
red,a red tomato,tomato,Inanimate,Food
yellow,a yellow pear,pear,Inanimate,Food
